,Latitude,Longitude,datetime,pm_conc,Name,month,day,month_cat,threshold,Census_Tract,asthma_rate,Rate Lower Confidence Interval,Rate Upper Confidence Interval,year
0,37.63757,122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.1,7.7,8.5,2018
1,37.63757,122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.2,7.8,8.5,2019
2,37.63757,122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.4,8.1,8.7,2020
3,37.63757,122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.3,7.3,9.4,2021
4,37.63757,122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022
5,37.63757,122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.1,7.7,8.5,2018
6,37.63757,122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.2,7.8,8.5,2019
7,37.63757,122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.4,8.1,8.7,2020
8,37.63757,122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.3,7.3,9.4,2021
9,37.63757,122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.8,7.7,9.9,2022
10,37.63757,122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.1,7.7,8.5,2018
11,37.63757,122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.2,7.8,8.5,2019
12,37.63757,122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.4,8.1,8.7,2020
13,37.63757,122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.3,7.3,9.4,2021
14,37.63757,122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.8,7.7,9.9,2022
15,37.63757,122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.1,7.7,8.5,2018
16,37.63757,122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.2,7.8,8.5,2019
17,37.63757,122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.4,8.1,8.7,2020
18,37.63757,122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.3,7.3,9.4,2021
19,37.63757,122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.8,7.7,9.9,2022
20,37.63757,122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.1,7.7,8.5,2018
21,37.63757,122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.2,7.8,8.5,2019
22,37.63757,122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.4,8.1,8.7,2020
23,37.63757,122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.3,7.3,9.4,2021
24,37.63757,122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.8,7.7,9.9,2022
25,37.63757,122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.1,7.7,8.5,2018
26,37.63757,122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.2,7.8,8.5,2019
27,37.63757,122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.4,8.1,8.7,2020
28,37.63757,122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.3,7.3,9.4,2021
29,37.63757,122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.8,7.7,9.9,2022
30,37.63757,122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.1,7.7,8.5,2018
31,37.63757,122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.2,7.8,8.5,2019
32,37.63757,122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.4,8.1,8.7,2020
33,37.63757,122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.3,7.3,9.4,2021
34,37.63757,122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.8,7.7,9.9,2022
35,37.63757,122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.1,7.7,8.5,2018
36,37.63757,122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.2,7.8,8.5,2019
37,37.63757,122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.4,8.1,8.7,2020
38,37.63757,122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.3,7.3,9.4,2021
39,37.63757,122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022
40,37.63757,122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.1,7.7,8.5,2018
41,37.63757,122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.2,7.8,8.5,2019
42,37.63757,122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.4,8.1,8.7,2020
43,37.63757,122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.3,7.3,9.4,2021
44,37.63757,122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.8,7.7,9.9,2022
45,37.63757,122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.1,7.7,8.5,2018
46,37.63757,122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.2,7.8,8.5,2019
47,37.63757,122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.4,8.1,8.7,2020
48,37.63757,122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.3,7.3,9.4,2021
49,37.63757,122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022
50,37.63757,122.4327,2024-12-30 00:00:00+00:00,3.34,Brentwood Park,12,Monday,12,False,6081602400,8.1,7.7,8.5,2018
51,37.63757,122.4327,2024-12-30 00:00:00+00:00,3.34,Brentwood Park,12,Monday,12,False,6081602400,8.2,7.8,8.5,2019
52,37.63757,122.4327,2024-12-30 00:00:00+00:00,3.34,Brentwood Park,12,Monday,12,False,6081602400,8.4,8.1,8.7,2020
53,37.63757,122.4327,2024-12-30 00:00:00+00:00,3.34,Brentwood Park,12,Monday,12,False,6081602400,8.3,7.3,9.4,2021
54,37.63757,122.4327,2024-12-30 00:00:00+00:00,3.34,Brentwood Park,12,Monday,12,False,6081602400,8.8,7.7,9.9,2022
55,37.63757,122.4327,2025-02-06 00:00:00+00:00,3.42,Brentwood Park,2,Thursday,2,False,6081602400,8.1,7.7,8.5,2018
56,37.63757,122.4327,2025-02-06 00:00:00+00:00,3.42,Brentwood Park,2,Thursday,2,False,6081602400,8.2,7.8,8.5,2019
57,37.63757,122.4327,2025-02-06 00:00:00+00:00,3.42,Brentwood Park,2,Thursday,2,False,6081602400,8.4,8.1,8.7,2020
58,37.63757,122.4327,2025-02-06 00:00:00+00:00,3.42,Brentwood Park,2,Thursday,2,False,6081602400,8.3,7.3,9.4,2021
59,37.63757,122.4327,2025-02-06 00:00:00+00:00,3.42,Brentwood Park,2,Thursday,2,False,6081602400,8.8,7.7,9.9,2022
60,37.63757,122.4327,2024-12-22 00:00:00+00:00,12.69,Brentwood Park,12,Sunday,12,False,6081602400,8.1,7.7,8.5,2018
61,37.63757,122.4327,2024-12-22 00:00:00+00:00,12.69,Brentwood Park,12,Sunday,12,False,6081602400,8.2,7.8,8.5,2019
62,37.63757,122.4327,2024-12-22 00:00:00+00:00,12.69,Brentwood Park,12,Sunday,12,False,6081602400,8.4,8.1,8.7,2020
63,37.63757,122.4327,2024-12-22 00:00:00+00:00,12.69,Brentwood Park,12,Sunday,12,False,6081602400,8.3,7.3,9.4,2021
64,37.63757,122.4327,2024-12-22 00:00:00+00:00,12.69,Brentwood Park,12,Sunday,12,False,6081602400,8.8,7.7,9.9,2022
65,37.63757,122.4327,2025-01-16 00:00:00+00:00,17.87,Brentwood Park,1,Thursday,1,False,6081602400,8.1,7.7,8.5,2018
66,37.63757,122.4327,2025-01-16 00:00:00+00:00,17.87,Brentwood Park,1,Thursday,1,False,6081602400,8.2,7.8,8.5,2019
67,37.63757,122.4327,2025-01-16 00:00:00+00:00,17.87,Brentwood Park,1,Thursday,1,False,6081602400,8.4,8.1,8.7,2020
68,37.63757,122.4327,2025-01-16 00:00:00+00:00,17.87,Brentwood Park,1,Thursday,1,False,6081602400,8.3,7.3,9.4,2021
69,37.63757,122.4327,2025-01-16 00:00:00+00:00,17.87,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
70,37.63757,122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.1,7.7,8.5,2018
71,37.63757,122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.2,7.8,8.5,2019
72,37.63757,122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.4,8.1,8.7,2020
73,37.63757,122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.3,7.3,9.4,2021
74,37.63757,122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.8,7.7,9.9,2022
75,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.1,7.7,8.5,2018
76,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.2,7.8,8.5,2019
77,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.4,8.1,8.7,2020
78,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.3,7.3,9.4,2021
79,37.63757,122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
80,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.1,7.7,8.5,2018
81,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.2,7.8,8.5,2019
82,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.4,8.1,8.7,2020
83,37.63757,122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.3,7.3,9.4,2021
