,Latitude,Longitude,datetime,pm_conc,Name,month,day,month_cat,threshold,Census_Tract,asthma_rate,Rate Lower Confidence Interval,Rate Upper Confidence Interval,year
0,37.63757,-122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022
1,37.63757,-122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.8,7.7,9.9,2022
2,37.63757,-122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.8,7.7,9.9,2022
3,37.63757,-122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.8,7.7,9.9,2022
4,37.63757,-122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.8,7.7,9.9,2022
5,37.63757,-122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.8,7.7,9.9,2022
6,37.63757,-122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.8,7.7,9.9,2022
7,37.63757,-122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022
8,37.63757,-122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.8,7.7,9.9,2022
9,37.63757,-122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022
10,37.63757,-122.4327,2024-12-30 00:00:00+00:00,3.34,Brentwood Park,12,Monday,12,False,6081602400,8.8,7.7,9.9,2022
11,37.63757,-122.4327,2025-02-06 00:00:00+00:00,3.42,Brentwood Park,2,Thursday,2,False,6081602400,8.8,7.7,9.9,2022
12,37.63757,-122.4327,2024-12-22 00:00:00+00:00,12.69,Brentwood Park,12,Sunday,12,False,6081602400,8.8,7.7,9.9,2022
13,37.63757,-122.4327,2025-01-16 00:00:00+00:00,17.87,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
14,37.63757,-122.4327,2025-01-14 00:00:00+00:00,4.58,Brentwood Park,1,Tuesday,1,False,6081602400,8.8,7.7,9.9,2022
15,37.63757,-122.4327,2025-01-23 00:00:00+00:00,9.44,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
16,37.63757,-122.4327,2024-12-31 00:00:00+00:00,4.24,Brentwood Park,12,Tuesday,12,False,6081602400,8.8,7.7,9.9,2022
17,37.63757,-122.4327,2025-01-20 00:00:00+00:00,9.75,Brentwood Park,1,Monday,1,False,6081602400,8.8,7.7,9.9,2022
18,37.63757,-122.4327,2024-12-25 00:00:00+00:00,4.93,Brentwood Park,12,Wednesday,12,False,6081602400,8.8,7.7,9.9,2022
19,37.63757,-122.4327,2025-01-06 00:00:00+00:00,7.49,Brentwood Park,1,Monday,1,False,6081602400,8.8,7.7,9.9,2022
20,37.63757,-122.4327,2024-11-18 00:00:00+00:00,3.61,Brentwood Park,11,Monday,11,False,6081602400,8.8,7.7,9.9,2022
21,37.63757,-122.4327,2025-01-02 00:00:00+00:00,8.6,Brentwood Park,1,Thursday,1,False,6081602400,8.8,7.7,9.9,2022
22,37.63757,-122.4327,2025-01-15 00:00:00+00:00,8.52,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022
23,37.63757,-122.4327,2025-01-12 00:00:00+00:00,4.38,Brentwood Park,1,Sunday,1,False,6081602400,8.8,7.7,9.9,2022
24,37.63757,-122.4327,2024-11-24 00:00:00+00:00,3.09,Brentwood Park,11,Sunday,11,False,6081602400,8.8,7.7,9.9,2022
25,37.63757,-122.4327,2025-02-07 00:00:00+00:00,2.72,Brentwood Park,2,Friday,2,False,6081602400,8.8,7.7,9.9,2022
26,37.63757,-122.4327,2024-12-23 00:00:00+00:00,13.33,Brentwood Park,12,Monday,12,False,6081602400,8.8,7.7,9.9,2022
27,37.63757,-122.4327,2025-01-21 00:00:00+00:00,4.93,Brentwood Park,1,Tuesday,1,False,6081602400,8.8,7.7,9.9,2022
28,37.63757,-122.4327,2024-12-26 00:00:00+00:00,3.81,Brentwood Park,12,Thursday,12,False,6081602400,8.8,7.7,9.9,2022
29,37.63757,-122.4327,2025-01-24 00:00:00+00:00,16.23,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022
