,Latitude,Longitude,datetime,pm_conc,Name,month,day,month_cat,threshold,Census_Tract,asthma_rate,Rate Lower Confidence Interval,Rate Upper Confidence Interval,year,NAME,unw_centroid_long,unw_centroid_lat,Estimated Population,Percent Non-Hispanic,Percent Non-Hispanic White ,Percent Non-Hispanic Black ,Percent Non-Hispanic American Indian/Alaska Native ,Percent Non-Hispanic Asian ,Percent Non-Hispanic Native Hawaiian/Other Pacific Islander ,Percent Non-Hispanic Other ,Percent Non-Hispanic Two or More Races,Percent Hispanic ,Estimate Educated,Median Income ,Population Below Poverty Level,Population Income to Poverty Level,Percent Below 100% FPL,Percent Between 100% and 199% FPL,"Unemployment Rate, 16 and Over",Percent Below 200% FPL,Percent High School or Less,Percent Some College or Greater,Labor Force Participation Rate ,Percent Non-White,Redlining (HOLC Grade),Asthma Prevalence,Smoking Prevalence,Obesity Prevalence,COPD Prevalence,Lack of Health Care Access Prevalence,"ICE, Nonwhite by Income ","ICE, Rent Versus Owned ",Particulate Matter ,Housing Stress,Percent Population Within Half a Mile to Parks,Percent Population With Access to Healthy Foods
0,37.63757,-122.4327,2025-01-17 00:00:00+00:00,16.29,Brentwood Park,1,Friday,1,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
1,37.63757,-122.4327,2024-12-20 00:00:00+00:00,24.4,Brentwood Park,12,Friday,12,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
2,37.63757,-122.4327,2025-01-18 00:00:00+00:00,11.03,Brentwood Park,1,Saturday,1,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
3,37.63757,-122.4327,2025-01-19 00:00:00+00:00,11.56,Brentwood Park,1,Sunday,1,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
4,37.63757,-122.4327,2024-12-29 00:00:00+00:00,2.58,Brentwood Park,12,Sunday,12,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
5,37.63757,-122.4327,2025-02-05 00:00:00+00:00,3.04,Brentwood Park,2,Wednesday,2,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
6,37.63757,-122.4327,2024-12-21 00:00:00+00:00,14.89,Brentwood Park,12,Saturday,12,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
7,37.63757,-122.4327,2025-01-01 00:00:00+00:00,10.06,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
8,37.63757,-122.4327,2024-12-28 00:00:00+00:00,5.33,Brentwood Park,12,Saturday,12,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
9,37.63757,-122.4327,2025-01-22 00:00:00+00:00,12.23,Brentwood Park,1,Wednesday,1,False,6081602400,8.8,7.7,9.9,2022,Census Tract 6024; San Mateo County; California,-122.4357376,37.64449514,7522,74.0095719223611,34.2860941239032,1.39590534432332,0.106354692900824,33.2491358681202,0.292475405477267,1.7548524328636,2.92475405477267,25.9904280776389,5548,49498.0,7511,1255,12.1115537848606,8.36653386454183,1.1,20.4780876494024,33.8139870223504,66.1860129776496,77.9260555677095,65.7139058760968,,8.8,9.2,21.8,5.2,7.0,56.8623853211009,56.1100917431193,12.6082227297509,36.3773027612542,100.0,
