datasourceId,startOfPeriod,endOfPeriod,locationLatitude,locationLongitude,pm2_5ConcMass24HourMean.raw,pm2_5ConcMass24HourMean.value,pm2_5ConcMass24HourMeanUsEpaAqi.raw,pm2_5ConcMass24HourMeanUsEpaAqi.value,pm2_5ConcNum24HourMean.raw,pm2_5ConcNum24HourMean.value,relHumidInternal24HourMean.raw,relHumidInternal24HourMean.value,temperatureInternal24HourMean.raw,temperatureInternal24HourMean.value,Name
DCVIM2201,2025-01-17T00:00:00.000Z,2025-01-18T00:00:00.000Z,37.63757,-122.4327,36.54,16.29,103,64,29.53,29.53,73.43,73.43,10.41,10.41,Brentwood Park
DCVIM2201,2024-12-20T00:00:00.000Z,2024-12-21T00:00:00.000Z,37.63757,-122.4327,59.38,24.4,154,80,45.8,45.8,83.81,83.81,9.55,9.55,Brentwood Park
DCVIM2201,2025-01-18T00:00:00.000Z,2025-01-19T00:00:00.000Z,37.63757,-122.4327,21.85,11.03,75,55,19.94,19.94,74.1,74.1,10.59,10.59,Brentwood Park
DCVIM2201,2025-01-19T00:00:00.000Z,2025-01-20T00:00:00.000Z,37.63757,-122.4327,30.12,11.56,90,55,24.51,24.51,82.03,82.03,8.37,8.37,Brentwood Park
DCVIM2201,2024-12-29T00:00:00.000Z,2024-12-30T00:00:00.000Z,37.63757,-122.4327,2.52,2.58,14,14,2.85,2.85,84.66,84.66,14.94,14.94,Brentwood Park
DCVIM2201,2025-02-05T00:00:00.000Z,2025-02-06T00:00:00.000Z,37.63757,-122.4327,2.67,3.04,14,17,2.4,2.4,74.98,74.98,9.1,9.1,Brentwood Park
DCVIM2201,2024-12-21T00:00:00.000Z,2024-12-22T00:00:00.000Z,37.63757,-122.4327,34.85,14.89,99,62,28.24,28.24,85.2,85.2,12.07,12.07,Brentwood Park
DCVIM2201,2025-01-01T00:00:00.000Z,2025-01-02T00:00:00.000Z,37.63757,-122.4327,21.79,10.06,74,53,17.96,17.96,77.9,77.9,9.25,9.25,Brentwood Park
DCVIM2201,2024-12-28T00:00:00.000Z,2024-12-29T00:00:00.000Z,37.63757,-122.4327,9.65,5.33,52,29,7.69,7.69,87.25,87.25,14.14,14.14,Brentwood Park
DCVIM2201,2025-01-22T00:00:00.000Z,2025-01-23T00:00:00.000Z,37.63757,-122.4327,24.9,12.23,80,57,20.92,20.92,64.04,64.04,8.88,8.88,Brentwood Park
DCVIM2201,2024-12-30T00:00:00.000Z,2024-12-31T00:00:00.000Z,37.63757,-122.4327,3.71,3.34,21,18,3.44,3.44,79.51,79.51,11.29,11.29,Brentwood Park
DCVIM2201,2025-02-06T00:00:00.000Z,2025-02-07T00:00:00.000Z,37.63757,-122.4327,4.87,3.42,27,19,4.77,4.77,81.33,81.33,8.42,8.42,Brentwood Park
DCVIM2201,2024-12-22T00:00:00.000Z,2024-12-23T00:00:00.000Z,37.63757,-122.4327,33.86,12.69,97,58,26.57,26.57,89.31,89.31,13.79,13.79,Brentwood Park
DCVIM2201,2025-01-16T00:00:00.000Z,2025-01-17T00:00:00.000Z,37.63757,-122.4327,37.6,17.87,106,67,33.28,33.28,67.18,67.18,9.49,9.49,Brentwood Park
DCVIM2201,2025-01-14T00:00:00.000Z,2025-01-15T00:00:00.000Z,37.63757,-122.4327,4.05,4.58,22,25,4.38,4.38,58.75,58.75,9.6,9.6,Brentwood Park
DCVIM2201,2025-01-23T00:00:00.000Z,2025-01-24T00:00:00.000Z,37.63757,-122.4327,13.15,9.44,58,52,13.18,13.18,52.92,52.92,11.85,11.85,Brentwood Park
DCVIM2201,2024-12-31T00:00:00.000Z,2025-01-01T00:00:00.000Z,37.63757,-122.4327,6.1,4.24,34,23,5.72,5.72,76,76,9.04,9.04,Brentwood Park
DCVIM2201,2025-01-20T00:00:00.000Z,2025-01-21T00:00:00.000Z,37.63757,-122.4327,22.66,9.75,76,52,17.87,17.87,70.3,70.3,9.67,9.67,Brentwood Park
DCVIM2201,2024-12-25T00:00:00.000Z,2024-12-26T00:00:00.000Z,37.63757,-122.4327,8.64,4.93,48,27,6.97,6.97,83.71,83.71,10.05,10.05,Brentwood Park
DCVIM2201,2025-01-06T00:00:00.000Z,2025-01-07T00:00:00.000Z,37.63757,-122.4327,17.11,7.49,66,41,12.92,12.92,87.41,87.41,10.7,10.7,Brentwood Park
DCVIM2201,2024-11-18T00:00:00.000Z,2024-11-19T00:00:00.000Z,37.63757,-122.4327,2.6,3.61,14,20,2.5,2.5,68.35,68.35,12.39,12.39,Brentwood Park
